RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles 						,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures						,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire						,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image), Mise_a_jour
01,Bas-Saint-Laurent,Total r�gional,Total r�gional, ,52,35,4,0,91,38,10.7373,3.85581314878892,10:44,3:51,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER R�GIONAL DU GRAND-PORTAGE,51218352,9,7,0,0,12,5,15.2,4.29,15:12,4:17,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,H�PITAL DE MATANE,51218980,7,8,2,0,20,7,7,4.63,7:00,4:37,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POH�N�GAMOOK,51219418,3,0,0,0,3,1,7.17,2.32,7:10,2:19,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,H�PITAL NOTRE-DAME-DE-FATIMA,51221141,7,1,0,0,11,5,6.35,3.82,6:21,3:49,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,H�PITAL DE NOTRE-DAME-DU-LAC,51221877,5,5,1,0,8,3,11.22,3.22,11:13,3:13,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,H�PITAL D'AMQUI,51226892,6,4,1,0,9,4,9.65,3.02,9:39,3:01,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,H�PITAL R�GIONAL DE RIMOUSKI,51227882,12,9,0,0,23,12,10.92,5.38,10:55,5:22,20:00:00,2026-05-02T20:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANT� ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,1,0,0,5,1,12.89,1.69,12:53,1:41,20:00:00,2026-05-02T20:45
02,Saguenay-Lac-Saint-Jean,Total r�gional,Total r�gional, ,104,52,5,0,130,64,13.250578034682,5.41185082872928,13:15,5:24,20:00:00,2026-05-02T20:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,H�PITAL DE CHICOUTIMI,51218394,41,24,3,0,44,14,15.61,6.54,15:36,6:32,20:00:00,2026-05-02T20:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,H�PITAL DE DOLBEAU-MISTASSINI,51219384,10,2,0,0,6,1,11.1,4.84,11:06,4:50,20:00:00,2026-05-02T20:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,H�PITAL D'ALMA,51219400,17,6,0,0,22,15,9.66,5.02,9:39,5:01,20:00:00,2026-05-02T20:45
